Meme,Correct Answer
8 ÷ 2(2 + 2) = 1,16
8 ÷ 2(2+2) = 8,16
6 ÷ 2(1+2) = 9,1
6 ÷ 2(1 + 2) = 6,9
2 + 2 × 2 = 8,6
5 + 5 × 0 = 10,5
9 - 3 ÷ 1/3 + 1 = 1,1
50 ÷ 2(3 + 2) = 5,50
2 × 3 + 3 × 2 = 10,12
5 × 5 - 5 + 5 = 15,25
7 + 3 × 0 = 10,7
4 ÷ 2(1+3) = 2,8
100 ÷ 10 × 2 = 5,20
9 + 6 × (8 - 5) = 8,27
2(2+3) = 6,10
5 × 3 + 3 × 2 = 12,21
2 + 2 × 2 + 2 = 10,8
100 ÷ 10 × 2 = 5,20
2 × 3 ÷ 2 = 6,3
10 - 5 ÷ 5 = 1,9
50 ÷ 2(3 + 2) = 5,50
5 + 5 × 0 = 10,5
7 - 2 × 3 + 4 = 15,5
6 ÷ 2(1+2) = 6,9
1 + 1 + 1 + 1 × 0 = 4,2
9 + 6 × (8 - 5) = 15,27
2 + 5 × 3 = 21,17
5 × 3 + 3 × 2 = 16,21
